season,season_type,bucket,qb_id,qb,team,games,n,epa,epa2,succ,cpoe,cpoe_n,sacks,ints,tds,att,comp
2021,POST,q2,00-0033873,P.Mahomes,KC,3,48,28.20275612165029,115.86797955241263,30.0,620.40855884552,42,2.0,0.0,6.0,47.0,35.0
2021,POST,q2,00-0036442,J.Burrow,CIN,4,46,13.798077432670837,80.46703996018196,23.0,522.5886732339859,38,4.0,0.0,2.0,46.0,31.0
2021,POST,q2,00-0019596,T.Brady,TB,2,27,-6.198269624920316,37.91192140502115,8.0,-170.02942562103271,23,4.0,1.0,0.0,27.0,15.0
2021,POST,q2,00-0031345,J.Garoppolo,SF,3,20,10.26729518148807,64.91263760895525,12.0,82.57348835468292,18,1.0,1.0,1.0,19.0,13.0
2021,POST,q2,00-0036389,J.Hurts,PHI,1,17,-4.58286291960394,50.366072741659295,4.0,-97.42330014705658,16,1.0,1.0,0.0,17.0,9.0
2021,POST,q2,00-0034857,J.Allen,BUF,2,15,7.341817088919925,26.894017146151867,10.0,164.78547751903534,12,1.0,0.0,1.0,13.0,10.0
2021,POST,q2,00-0031280,D.Carr,LV,1,14,3.0631442580877457,26.812644940189585,6.0,-236.37628257274628,11,1.0,0.0,1.0,13.0,5.0
2021,POST,q2,00-0035228,K.Murray,ARI,1,13,-15.987514129665215,63.33796469723184,2.0,-382.5236678123474,12,1.0,2.0,0.0,13.0,5.0
2021,POST,q2,00-0036972,M.Jones,NE,1,12,-1.5949066065368243,8.118475352911458,4.0,180.6548923254013,9,2.0,0.0,0.0,11.0,8.0
2021,POST,q2,00-0033077,D.Prescott,DAL,1,11,5.026748266071081,18.29373131646147,6.0,-22.502514719963074,11,0.0,0.0,1.0,11.0,7.0
2021,POST,q2,00-0023459,A.Rodgers,GB,1,7,0.9367258007405326,28.763114917385128,2.0,139.88430798053741,4,3.0,0.0,0.0,7.0,4.0
2021,POST,q2,00-0029701,R.Tannehill,TEN,1,7,3.6441860361373983,7.334190988294675,4.0,12.475305795669556,6,0.0,0.0,0.0,6.0,4.0
2021,POST,q2,00-0022924,B.Roethlisberger,PIT,1,6,-2.9170683707343414,6.5184054177548525,2.0,-140.79338908195496,6,0.0,0.0,0.0,6.0,2.0
2021,POST,q2,00-0028872,J.Hekker,LA,1,1,-0.947,0.8968089999999999,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0
2021,POST,q2,00-0033897,J.Mixon,CIN,1,1,1.8504547015181743,3.4241826023707156,1.0,54.363664984703064,1,0.0,0.0,1.0,1.0,1.0
2021,POST,q3,00-0036442,J.Burrow,CIN,4,43,-3.6704878865692647,140.05650834173412,19.0,62.93756067752838,31,8.0,1.0,2.0,41.0,22.0
2021,POST,q3,00-0033873,P.Mahomes,KC,3,35,8.18327520770783,103.27725718629232,20.0,210.7740342617035,27,2.0,1.0,2.0,30.0,22.0
2021,POST,q3,00-0026498,M.Stafford,LA,4,30,5.3473572142538615,111.29766254040467,18.0,433.80536437034607,27,1.0,1.0,1.0,29.0,23.0
2021,POST,q3,00-0019596,T.Brady,TB,2,22,8.597855458070056,55.406326095568865,10.0,140.70904850959778,20,0.0,0.0,2.0,22.0,14.0
2021,POST,q3,00-0031345,J.Garoppolo,SF,3,20,0.17304398082880867,41.25041054648841,7.0,-341.61303639411926,19,1.0,0.0,1.0,20.0,10.0
2021,POST,q3,00-0033077,D.Prescott,DAL,1,15,-11.262165253749117,42.565118739016356,3.0,-140.55605679750443,10,3.0,1.0,0.0,13.0,5.0
2021,POST,q3,00-0036389,J.Hurts,PHI,1,13,-8.221856879070401,33.73835791323544,3.0,-284.13224071264267,13,0.0,1.0,0.0,13.0,5.0
2021,POST,q3,00-0031280,D.Carr,LV,1,11,1.4095680184545927,14.718500101641027,5.0,37.262800335884094,10,0.0,0.0,0.0,11.0,7.0
